month,cpi
01-06-21,5.4
01-07-21,5.4
01-08-21,5.3
01-09-21,5.4
01-10-21,6.2
01-11-21,6.8
01-12-21,7
01-01-22,7.5
01-02-22,7.9
01-03-22,8.5
01-04-22,8.3
01-05-22,8.6
01-06-22,9.1
